Neutron_Porosity,Deep_Resistivity,Medium_Resistivity,Gamma_Ray,Density,DTC
0.0827,3.3382,3.9828,6.8518,2.5391,65.1765
0.0843,3.2523,3.7152,7.4963,2.5025,66.0503
0.0926,3.1649,3.4836,6.9008,2.4893,66.6176
0.1033,3.093,3.3,6.105,2.488,66.9238
0.1006,3.052,3.1863,6.6499,2.5088,67.1869
0.0963,3.0401,3.148,6.331,2.5391,67.7313
0.09699999999999999,3.0243,3.1305,6.1925,2.5572,68.7555
0.0986,2.9552,3.0356,6.3985,2.5445,70.1649
0.1087,2.8099,2.8139999999999996,6.4039,2.4903,71.6156
0.1304,2.6198,2.5236,6.5887,2.437,72.6745
0.0895,2.6717,2.5465,8.9744,2.5604,64.5518
0.0906,2.8587,2.9077,6.8883,2.5626,64.8542
0.0941,3.1012,3.3734,5.6524,2.5569,65.0106
0.1023,3.3543,3.9108,6.6663,2.5543,64.9372
0.1106,3.5131,4.3098,7.1215,2.5696,64.7518
0.1065,3.4930000000000003,4.2906,7.2433,2.5623,64.5262
0.1051,3.3339999999999996,3.9158,6.5131,2.5436,64.3132
0.1066,3.1636,3.5301,5.7831,2.5345,64.2088
0.1042,3.0783,3.3445,5.4926,2.5343,64.2945
0.1027,3.0998,3.3671,5.4042,2.5474,64.6129
0.11,3.2005,3.5172,5.5279,2.5646,65.0538
0.1185,3.327,3.6897,6.1027,2.536,65.4638
0.1212,3.431,3.8093,6.3825,2.498,65.8161
0.12,3.4843,3.8373,5.7497,2.5168,66.1213
0.1209,3.4845,3.7701,5.9782,2.5347,66.4632
0.1237,3.4502,3.6481,6.0274,2.53,66.9225
0.1257,3.4046,3.5265,5.6257,2.5353,67.4255
0.13,3.3595,3.4236,5.8905,2.5175,67.8191
0.1336,3.3129,3.3221,5.7912,2.4881,68.0112
0.1375,3.2569,3.2104,5.8164,2.4742,68.0658
0.1448,3.1914,3.102,5.944,2.4611,68.0733
0.1439,3.1266,3.0155,5.494,2.4448,68.1269
0.1381,3.0789,2.9638,5.0839,2.4330000000000003,68.3736
0.1329,3.0583,2.9507,5.2074,2.4443,68.8257
0.1323,3.0606,2.9644,6.2951,2.4581,69.3469
0.1356,3.0653,2.9728,7.2506,2.4576,69.8143
0.1387,3.0465,2.9405,7.6508,2.4348,70.171
0.14400000000000002,2.9923,2.8553,6.9655,2.4253,70.3459
0.1447,2.9166,2.7405,5.5782,2.4419,70.21600000000001
0.1432,2.8473,2.6404,5.4228,2.4454,69.7026
0.1423,2.8053,2.5879,6.3312,2.4333,68.8962
0.1305,2.7926,2.5819,6.5376,2.4311,68.0787
0.122,2.8001,2.5977,5.6522,2.4489,67.4547
0.1263,2.8204,2.6165,5.2572,2.4723,67.0321
0.1272,2.8545,2.6431,5.2058,2.4799,66.777
0.086,3.2401,3.1526,7.4988,2.5298,66.0824
0.0951,3.375,3.365,7.9004,2.5586,65.6873
0.099,3.5339,3.6104,6.2526,2.55,65.2301
0.1051,3.6853,3.8331,5.8048,2.5332,64.8386
0.1074,3.7869,3.9626,6.2824,2.5146,64.5524
0.1115,3.8182,3.9787,6.7763,2.5047,64.2516
0.106,3.8006,3.9388,6.5043,2.5126,63.786
0.0965,3.785,3.9347,6.1105,2.5404,63.1113
0.0845,3.8172,4.0367,6.9526,2.5589,62.236999999999995
0.0689,3.9145,4.2714,6.8158,2.5846,61.2874
0.0562,4.0584,4.6063,6.7322,2.6151,60.5006
0.0522,4.2041,4.9397,7.0462,2.6248,60.013999999999996
0.0563,4.3075,5.1467,6.3183,2.6292,59.7985
0.0603,4.3593,5.2007,6.985,2.6208,59.7626
0.062,4.3873,5.1949,6.6758,2.6063,59.853
0.0659,4.4301,5.2333,4.9344,2.6033,60.0329
0.0704,4.5083,5.3487,4.1476,2.6013,60.2319
0.0721,4.6177,5.5169,4.7378,2.5911,60.4565
0.0715,4.7384,5.6981,5.8589,2.5684,60.5926
0.0689,4.8521,5.8645,6.0247,2.5512,60.6397
0.0653,4.9564,6.0214,5.8147,2.5625,60.7792
0.0621,5.0722,6.2192,5.5451,2.5972,60.9338
0.0584,5.2279,6.5209,5.5652,2.6041,61.0476
0.0541,5.4267,6.9383,5.8857,2.5931,61.1171
0.0529,5.6191,7.3752,6.5019,2.5959,61.0706
0.0546,5.728,7.6631,7.3152,2.5996,61.0104
0.0579,5.7282,7.7188,7.098,2.6196,61.1732
0.0611,5.6864,7.6571,7.558,2.6301,61.526
0.063,5.7017,7.702000000000001,8.2805,2.6182,61.8674
0.0628,5.8177,7.9963,7.3526,2.5897,62.1049
0.0629,5.9814,8.4257,7.176,2.0844,62.3218
0.0698,6.0778,8.4661,9.9102,2.1762,63.4706
0.0825,5.9399,7.9612,9.2036,2.5751,64.546
0.0982,5.7435,7.3962,8.2127,2.5463,65.9318
0.1033,5.5748,6.9139,8.3866,2.5372,67.5312
0.1007,5.5074,6.6171,8.5609,2.5378,68.9772
0.098,5.5529,6.5826,8.9947,2.5487,69.9174
0.0969,5.6191,6.7247,10.7504,2.5582,70.3
0.0998,5.5328,6.7044,10.7287,2.5373,70.3973
0.1104,5.1886,6.1972,10.0478,2.5024,70.5164
0.1282,4.673,5.3166,9.6508,2.4879,70.8498
0.1456,4.1732,4.4694,9.2579,2.464,71.4422
0.1504,3.8059,3.8822,9.2729,2.4419,72.2059
0.1469,3.5818,3.5375,8.416,2.4352,72.9081
0.1469,3.4481,3.3248,7.8599,2.4542,73.3883
0.1483,3.3357,3.1460000000000004,8.4838,2.4807,73.5469
0.1425,3.195,2.9507,9.9469,2.4913,73.4297
0.1314,3.0262,2.7439999999999998,8.1553,2.5013,73.048
0.1216,2.8699,2.5621,5.4363,2.4872,72.2942
0.1221,2.7757,2.4471,5.0003,2.464,71.3238
0.128,2.7688,2.4235,5.2985,2.4574,70.4259
0.1287,2.8415,2.4888,6.0299,2.4573,70.0375
0.1278,2.9548,2.6043,7.734,2.4559,70.1291
0.1267,3.0583,2.71,7.2849,2.4618,70.3285
0.1242,3.1242,2.773,7.0747,2.4807,70.2202
0.1165,3.1582,2.8147,8.2252,2.5031,69.5412
0.1111,3.1785,2.8758,7.6559,2.5127,68.4632
0.106,3.1931,2.9642,7.3714,2.5011,67.3876
0.1023,3.2085,3.0644,7.1699,2.5007,66.6919
0.1034,3.2434,3.1796,7.2743,2.5117,66.4384
0.1014,3.3203,3.3422,7.0981,2.5343,66.3534
0.0942,3.4424,3.5731,6.2203,2.5464,66.1831
0.0888,3.5766,3.8268,5.374,2.5467,65.8078
0.092,3.6691,4.0012,6.2813,2.5389,65.5407
0.1034,3.6882,4.0289,7.7283,2.5306,65.2997
0.11199999999999999,3.6487,3.9412,7.6762,2.5271,65.0427
0.1096,3.5867,3.8185,7.433,2.5128,65.0934
0.1069,3.5233,3.7146,8.058,2.513,65.8608
0.102,3.4602,3.6359,8.222999999999999,2.5288,67.3005
0.0937,3.3999,3.5644,9.5641,2.5637,68.8848
0.0935,3.3564,3.4922,10.7558,2.5824,70.4233
0.1002,3.3457,3.4296,11.5265,2.5936,72.3743
0.1075,3.3654,3.3710000000000004,12.7232,2.5821,74.8906
0.1145,3.3866,3.28,15.8488,2.5487,77.4352
0.1201,3.3749,3.1401,18.0489,2.5325,79.1041
0.11800000000000001,3.3276,3.0022,14.1633,2.5461,79.8849
0.1005,3.281,2.9419,8.8089,2.5175,80.0704
0.09699999999999999,3.2762,2.9915,6.5517,2.5034,79.5029
0.1011,3.3223,3.1178,5.6159,2.5158,78.1923
0.1041,3.3891,3.2489999999999997,5.5837,2.5187,76.408
0.1067,3.4321,3.3289,7.3105,2.5062,74.4515
0.1051,3.4293,3.3493,6.8548,2.5008,72.4702
0.0997,3.3904,3.33,5.9166,2.5046,70.4865
0.0964,3.3348,3.2908,6.0621,2.5269999999999997,68.6157
0.1039,3.2710000000000004,3.2434,5.8255,2.5107,67.0527
0.1094,3.1998,3.1878,6.6358,2.4803,66.1195
0.1144,3.1259,3.1193,6.6169,2.4671,65.812
0.1222,3.0596,3.0414,5.8282,2.4815,65.9053
0.1223,3.0098,2.9665,6.447,2.5152,66.1801
0.1219,2.9792,2.9049,7.0501,2.5202,66.3609
0.1291,2.9665,2.8601,5.9857,2.5121,66.3542
0.1313,2.9687,2.8338,5.3436,2.4866,66.2877
0.1262,2.9835,2.8288,4.6385,2.4746,66.1943
0.1188,3.0066,2.8441,5.2935,2.4882,66.1339
0.1167,3.0309,2.8719,6.2951,2.4881,66.2027
0.1192,3.0489,2.9022,6.188,2.4903,66.4087
0.1154,3.0589999999999997,2.9292,6.6658,2.5135,66.8312
0.1091,3.071,2.9579,6.9051,2.5357,67.34100000000001
0.107,3.1033,3.0039,7.3326,2.5392,67.9815
0.1155,3.1725,3.0875,8.1183,2.5305,68.8885
0.1188,3.281,3.2199,8.3316,2.5131,69.5575
0.1206,3.4087,3.3899,8.7681,2.4787,69.7584
0.1232,3.5195,3.5602,9.0454,2.4714,69.5059
0.126,3.5835,3.6818,8.8514,2.49,68.9235
0.1241,3.6017,3.7386,8.7287,2.5184,68.2076
0.1139,3.6041,3.7666,7.5389,2.5087,67.7274
0.1079,3.6238,3.8143,6.0736,2.4893,67.6721
0.1113,3.6725,3.8876,5.0476,2.4730000000000003,67.8588
0.1192,3.7335,3.9425,5.1552,2.4672,68.1024
0.1215,3.7751,3.9267,7.3846,2.479,68.2043
0.1186,3.7752,3.8282,8.6423,2.4983,68.1239
0.1148,3.739,3.6906,7.8772,2.5154,67.85
0.1135,3.6919,3.5863,7.1233,2.5234,67.4002
0.1123,3.6591,3.5683,6.047999999999999,2.5136,66.8283
0.1075,3.6519,3.6369,6.7386,2.4966,66.2215
0.1037,3.6685,3.7495,7.0157,2.4958,65.6532
0.1,3.7013,3.858,6.5268,2.5177,65.0291
0.0962,3.7430000000000003,3.9319,7.4358,2.5312,64.4234
0.0908,3.7872,3.9649,7.2441,2.5173,63.9445
0.0886,3.8266,3.9782,7.0145,2.517,63.5729
0.0887,3.853,4.0018,6.7448,2.5364,63.2699
0.0848,3.86,4.0401,6.9104,2.5553,62.9954
0.0825,3.8475,4.0702,7.7881,2.5682,62.8882
0.0852,3.8224,4.0713,7.8263,2.5801,62.8979
0.0861,3.7942,4.0431,6.9537,2.5882,63.0283
0.0852,3.7686,3.9936,6.8303,2.5949,63.2138
0.0883,3.7436,3.9256,6.4342,2.5729,63.2971
0.0929,3.7143,3.839,6.4622,2.5265,63.2694
0.0968,3.6782,3.7365,6.4329,2.5097,63.2145
0.0981,3.6383,3.6255,6.6952,2.5194,63.2759
0.0958,3.6006,3.5144,6.3512,2.5243,63.5215
0.0959,3.5725,3.4131,4.9858,2.5168,63.9996
0.1097,3.5624,3.3361,5.7997,2.5004,64.5654
0.1261,3.5793,3.3021,4.9478,2.4807,65.1527
0.1287,3.6292,3.3256,4.7153,2.4556,65.7652
0.1266,3.7092,3.4010000000000002,6.1183,2.4468,66.3363
0.129,3.8047,3.5014,6.5931,2.4533,66.7142
0.1314,3.8949,3.6002,7.3999,2.4689,66.8511
0.1323,3.9659,3.6942,7.5184,2.4948,66.7776
0.1316,4.0251,3.8057,6.4164,2.5103,66.6011
0.1245,4.1004,3.9654,6.6057,2.509,66.3225
0.1149,4.2193,4.191,6.8921,2.5036,65.9141
0.1103,4.3794,4.4624,6.872000000000001,2.5048,65.4262
0.1091,4.5306,4.7035,7.2855,2.5075,64.9985
0.1083,4.6026,4.8148,6.8801,2.5017,64.7342
0.1089,4.5694,4.7643,5.1459,2.4891,64.6623
0.1141,4.4897,4.6413,4.9172,2.4852,64.8092
0.1168,4.4647,4.5941,6.4672,2.4806,65.1191
0.1105,4.5658,4.7305,6.0556,2.4781,65.2731
0.0995,4.7925,5.0626,5.7555,2.4999,65.1981
0.0888,5.0644,5.4818,4.5533,2.5343,64.8254
0.083,5.2662,5.8064,5.8141,2.5541,64.2316
0.0837,5.3373,5.9264,7.3485,2.5548,63.5503
0.0871,5.318,5.9014,6.2678,2.5562,62.9336
0.0864,5.2979,5.8713,6.0985,2.5602,62.5138
0.0828,5.3306,5.9082,5.2375,2.5664,62.5256
0.0819,5.4046,5.9887,5.2625,2.577,62.8106
0.0818,5.4691,6.053,7.0465,2.5739,63.0832
0.0802,5.479,6.0565,7.5893,2.5646,63.2636
0.0754,5.4241,5.9855,6.6071,2.5718,63.4522
0.0708,5.3238,5.8562,6.5687,2.5869999999999997,63.7112
0.0734,5.2052,5.7044,6.9827,2.6086,64.0381
0.08,5.0893,5.5617,7.457999999999999,2.6245,64.5125
0.0862,4.9887,5.4386,7.2401,2.6019,65.1246
0.0902,4.9121,5.3353,6.0625,2.571,65.6584
0.0904,4.8618,5.2538,6.056,2.5511,65.9422
0.0876,4.8334,5.1937,7.1893,2.5531,65.9851
0.0841,4.8156,5.1396,8.5591,2.5681,66.0063
0.0824,4.7938,5.0603,8.6028,2.5758,66.3334
0.0845,4.7573,4.9308,8.1334,2.5708,66.8992
0.0936,4.7069,4.7618,8.5203,2.5466,67.4872
0.1035,4.6569,4.6069,7.8558,2.5284,68.0128
0.1034,4.6251,4.5263,6.6508,2.5309,68.4087
0.0967,4.6161,4.5383,6.216,2.5396,68.491
0.0928,4.6113,4.6052,6.237,2.5386,68.0968
0.0924,4.5763,4.6526,6.9469,2.545,67.4339
0.0925,4.4842,4.6206,7.6871,2.556,66.7181
0.0931,4.3372,4.4981,6.8896,2.5743,66.0029
0.0958,4.1662,4.3132,7.595,2.5832,65.344
0.1031,4.0099,4.1078,6.9805,2.543,64.95
0.1095,3.8928,3.9204,5.8061,2.4963,64.8304
0.2825,3.8147,3.7696,5.6658,2.463,64.7542
0.7731,3.5562,3.3728,5.8059,2.4775,64.7045
0.0775,3.4091,3.1987,6.1266,2.4931,64.9229
0.0782,3.2668,3.0288,6.2693,2.5008,65.3418
0.1216,3.1588,2.8914,6.105,2.488,66.1028
0.1386,3.0882,2.7835,5.7316,2.4541,67.1637
0.1404,3.0307,2.6703,6.5926,2.4275,68.2378
0.14300000000000002,2.9535,2.517,6.8631,2.4263,69.0369
0.1443,2.8437,2.329,6.1168,2.4314,69.3667
0.1421,2.721,2.1501,5.032,2.4392,69.1885
0.1422,2.6211,2.0266,6.1857,2.4343,68.6232
0.1329,2.6195,2.1254,5.7572,2.4291,65.9971
0.1254,2.7158,2.3006,7.183,2.4826,64.7318
0.0956,2.8724,2.5476,6.5813,2.523,63.2571
0.0647,3.1086,2.8783,6.735,2.5457,61.7476
0.0565,3.4166,3.275,7.9355,2.5702,60.5264
0.06,3.7254,3.6441,7.3296,2.5980000000000003,59.6564
0.0591,3.9172,3.8463,5.9539,2.6397,59.1065
0.0611,3.9417,3.8481,4.9251,2.6305,58.9453
0.0698,3.9005,3.8001,4.9993,2.6268,59.1406
0.0724,3.9594,3.9078,6.2269,2.6119,59.5422
0.0694,4.2399,4.3308,7.2819,2.5883,60.0668
0.0671,4.7885,5.1684,8.1504,2.5963,60.8081
0.0696,5.521,6.3432,7.6598,2.5917,61.8321
0.0739,6.1658,7.3877,8.5649,2.5977,63.0332
0.0768,6.4243,7.7061,10.922,2.6069,64.2445
0.0786,6.2712,7.3027,10.618,2.6053,65.2686
0.0789,5.934,6.6701,8.6912,2.5968,65.8915
0.0798,5.6195,6.1556,8.2945,2.5932,66.0162
0.0761,5.4118,5.851,7.0571,2.5845,65.6552
0.0701,5.3179,5.7337,5.2748,2.5887,64.9892
0.0649,5.3159,5.7511,6.4511,2.6054,64.3964
0.0629,5.3757,5.8463,6.6584,2.3949,64.1258
0.0761,5.5985,6.0326,7.235,2.3621,64.8289
0.0822,5.6128,5.9405,6.6167,2.5515,65.2549
0.0904,5.5943,5.7954,6.4553,2.5380000000000003,65.5533
0.0909,5.5542,5.6424,6.5761,2.5408,65.5686
0.0851,5.5023,5.5028,6.6143,2.5746,65.3339
0.0821,5.4461,5.381,6.5192,2.5811,65.0925
0.0838,5.3932,5.2860000000000005,7.6502,2.5841,64.9991
0.0858,5.3514,5.2276,7.6968,2.5579,65.1485
0.086,5.3260000000000005,5.2044,7.0299,2.5346,65.4222
0.0848,5.3179,5.2069,6.3986,2.5441,65.5788
0.0822,5.3221,5.2244,6.2083,2.5622,65.4759
0.0811,5.3287,5.2436,6.4818,2.5773,65.2339
0.0838,5.3283,5.2518,7.4101,2.5833,65.1088
0.0836,5.3188,5.249,7.4285,2.5781,65.2967
0.0805,5.3083,5.2544,8.7933,2.575,65.5943
0.0796,5.3105,5.2931,8.6046,2.5792,65.7218
0.0828,5.3339,5.3719,7.6353,2.5701,65.5736
0.0875,5.3747,5.4688,6.4912,2.5652,65.3188
0.0881,5.417999999999999,5.5503,5.7473,2.5775,65.041
0.0852,5.4476,5.5997,6.0635,2.5783,64.7082
0.0838,5.4565,5.6225,7.1376,2.5708,64.3912
0.0807,5.4523,5.6351,7.5863,2.5756,64.2163
0.0749,5.4509,5.6549,6.6377,2.5844,64.2235
0.0733,5.4632,5.6911,6.4911,2.5839,64.319
0.0753,5.485,5.7312,7.1102,2.5904,64.3612
0.0749,5.5005,5.7466,6.4932,2.5899,64.3141
0.0742,5.4986,5.7236,5.7398,2.572,64.2353
0.0735,5.4849,5.6831,6.1265,2.5723,64.0969
0.0721,5.4755,5.6589,7.0511,2.5879,63.8856
0.0727,5.4806,5.6613,6.7124,2.5883,63.683
0.0749,5.4947,5.6725,8.5852,2.5764,63.6146
0.0756,5.5032,5.672000000000001,10.31,2.5724,63.6843
0.075,5.4951,5.6541,9.568,2.5853,63.823
0.0762,5.4691,5.6226,8.9923,2.5915,64.0161
0.077,5.4321,5.5836,7.9159,2.5863,64.2502
0.0765,5.3931,5.5421,8.1751,2.5852,64.4566
0.0778,5.3573,5.4954,9.1338,2.5789999999999997,64.5203
0.0824,5.3207,5.4302,9.1734,2.5642,64.4556
0.0866,5.2727,5.3357,7.4592,2.5595,64.3638
0.0883,5.204,5.2172,6.5618,2.5554,64.3523
0.0881,5.1177,5.093999999999999,7.1103,2.5472,64.3006
0.08800000000000001,5.0277,4.9833,7.5464,2.5448,64.2139
0.0886,4.9509,4.891,8.2614,2.5472,64.2431
0.0884,4.8964,4.8142,7.9464,2.5488,64.3819
0.0871,4.8657,4.7536,7.8292,2.5488,64.4806
0.086,4.8557,4.7175,8.2569,2.5554,64.3902
0.0853,4.859,4.7106,7.6824,2.5591,64.1229
0.0831,4.8646,4.7253,6.4953,2.5528,63.7901
0.0788,4.8596,4.7435,7.1807,2.548,63.4827
0.0758,4.8347,4.7483,8.2615,2.546,63.2674
0.0769,4.7879,4.7305,7.7702,2.5458,63.1766
0.0816,4.7256,4.6889,7.3478,2.5527,63.2382
0.0866,4.6599,4.6261,7.6494,2.5588,63.4758
0.0896,4.605,4.5507,7.2987,2.5532,63.7771
0.0923,4.5706,4.4797,6.4664,2.548,64.0436
0.0929,4.5558,4.4284,6.3895,2.5396,64.153
0.09300000000000001,4.5476,4.3952,7.1129999999999995,2.5236,64.0696
0.0946,4.5282,4.3605,7.5011,2.5283,63.9119
0.0956,4.4882,4.3094,7.7758,2.5463,63.8452
0.0926,4.4327,4.2464,8.0643,2.5463,63.9524
0.0893,4.3771,4.1902,8.722999999999999,2.5424,64.1608
0.0938,4.3346,4.1579,8.7405,2.5613,64.4852
0.1021,4.3089,4.1533,8.9786,2.5852,64.9501
